backend,cacheState,operation,maintenanceMode,repeatCount,repeat1Millis,repeat2Millis,repeat3Millis,meanMillis,minimumMillis,maximumMillis,populationStddevMillis,coefficientOfVariationPercent
postgresql,cold,cloneStyleTraversal,compact-only,3,0.19486447007617,0.193733130801688,0.199266438095238,0.195954679657699,0.193733130801688,0.199266438095238,0.00238687942719603,1.21807727754475
postgresql,cold,cloneStyleTraversal,none,3,0.304812655948553,0.2835468,0.248901607788595,0.279087021245716,0.248901607788595,0.304812655948553,0.0230424036143389,8.25635083691397
postgresql,cold,cloneStyleTraversal,read-optimized,3,0.227410424242424,0.254225234221599,0.216234666666667,0.23262344171023,0.216234666666667,0.254225234221599,0.0159416115690186,6.85296866550381
postgresql,cold,lookupOldestObject,compact-only,3,0.0091401242759347,0.0134589889110037,0.0125566423243031,0.0117185851704138,0.0091401242759347,0.0134589889110037,0.00186009010156339,15.8729921275787
postgresql,cold,lookupOldestObject,none,3,0.0126411641857365,0.00933327319323424,0.0112155401549124,0.0110633258446277,0.00933327319323424,0.0126411641857365,0.0013547232440025,12.2451716873217
postgresql,cold,lookupOldestObject,read-optimized,3,0.0135983222769099,0.0107933687469448,0.00972103822222222,0.0113709097486923,0.00972103822222222,0.0135983222769099,0.00163472691230238,14.3763951032184
postgresql,cold,reopenAndLookupOldest,compact-only,3,6.373376,6.03725575757576,5.72597394285714,6.04553523347763,5.72597394285714,6.373376,0.264365615753521,4.3729067079053
postgresql,cold,reopenAndLookupOldest,none,3,18.808832,18.8833047272727,17.9747374545455,18.5556247272727,17.9747374545455,18.8833047272727,0.411873009951091,2.21966662941683
postgresql,cold,reopenAndLookupOldest,read-optimized,3,5.98594258823529,6.07995345454546,5.7556992,5.94053174759358,5.7556992,6.07995345454546,0.136215059699842,2.29297755634452
postgresql,warm,cloneStyleTraversal,compact-only,3,0.229687829787234,0.21456281938326,0.205447765690376,0.216566138286957,0.205447765690376,0.229687829787234,0.00999683756086135,4.61606677753806
postgresql,warm,cloneStyleTraversal,none,3,0.236594452554745,0.241678750929368,0.226599888372093,0.234957697285402,0.226599888372093,0.241678750929368,0.00626377148710939,2.6659145707837
postgresql,warm,cloneStyleTraversal,read-optimized,3,0.22133374405436,0.215680994450611,0.217534082130965,0.218182940211979,0.215680994450611,0.22133374405436,0.0023528928474887,1.07840367592568
postgresql,warm,lookupOldestObject,compact-only,3,0.00876551087139728,0.0084108862639217,0.0116861406309388,0.00962084592208593,0.0084108862639217,0.0116861406309388,0.00146754246477313,15.2537778554814
postgresql,warm,lookupOldestObject,none,3,0.00961626823683351,0.00940229357116312,0.0116964916363636,0.0102383511481201,0.00940229357116312,0.0116964916363636,0.00103475489915199,10.1066556927185
postgresql,warm,lookupOldestObject,read-optimized,3,0.00861428860068258,0.0096629794043562,0.0111069907997169,0.00979475293491856,0.00861428860068258,0.0111069907997169,0.00102189831874647,10.4331199116149
postgresql,warm,reopenAndLookupOldest,compact-only,3,4.46564124444444,4.44352284444444,4.75682133333333,4.55532847407407,4.44352284444444,4.75682133333333,0.142762822317282,3.13397427056673
postgresql,warm,reopenAndLookupOldest,none,3,3.57729745454545,3.5200449122807,3.88222030769231,3.65985422483949,3.5200449122807,3.88222030769231,0.158964292639206,4.34345968099803
postgresql,warm,reopenAndLookupOldest,read-optimized,3,4.574208,4.46409386666667,5.09846974358974,4.7122572034188,4.46409386666667,5.09846974358974,0.276768706358342,5.87337860415477
sqlserver,cold,cloneStyleTraversal,compact-only,3,0.208627273988439,0.0911199685658153,0.208696723897912,0.169481322150722,0.0911199685658153,0.208696723897912,0.0554098517568045,32.693780679577
sqlserver,cold,cloneStyleTraversal,none,3,0.167000097652582,0.139105096725057,0.214008863582444,0.173371352653361,0.139105096725057,0.214008863582444,0.030909418630035,17.8284463707423
sqlserver,cold,cloneStyleTraversal,read-optimized,3,0.193658649517685,0.0957503468328141,0.219724613138686,0.169711203163062,0.0957503468328141,0.219724613138686,0.0533698717548923,31.447465317663
sqlserver,cold,lookupOldestObject,compact-only,3,0.0155686744784224,0.00490780185155108,0.0124681512385919,0.0109815425228551,0.00490780185155108,0.0155686744784224,0.00447742897928949,40.7723138163052
sqlserver,cold,lookupOldestObject,none,3,0.00761572389871662,0.00730175008114248,0.00910048925971952,0.00800598774652621,0.00730175008114248,0.00910048925971952,0.000784472247785035,9.79856917874271
sqlserver,cold,lookupOldestObject,read-optimized,3,0.013342632,0.00506430964271994,0.011775590862598,0.0100608441684393,0.00506430964271994,0.013342632,0.00359053593321915,35.6882173414692
sqlserver,cold,reopenAndLookupOldest,compact-only,3,8.6974107826087,6.49678451612903,10.5633684210526,8.58585457326345,6.49678451612903,10.5633684210526,1.66204888713269,19.3579902029595
sqlserver,cold,reopenAndLookupOldest,none,3,31.4057874285714,20.9682432,34.5429333333333,28.9723213206349,20.9682432,34.5429333333333,5.80283672168829,20.0288981247607
sqlserver,cold,reopenAndLookupOldest,read-optimized,3,9.21488290909091,6.14822012121212,10.272768,8.54529034343434,6.14822012121212,10.272768,1.74914063739699,20.4690603490251
sqlserver,warm,cloneStyleTraversal,compact-only,3,0.232851774850299,0.221977820927724,0.231425670225385,0.22875175533447,0.221977820927724,0.232851774850299,0.0048251482955084,2.10933825991993
sqlserver,warm,cloneStyleTraversal,none,3,0.228201817330211,0.209156750795334,0.225975555555555,0.221111374560367,0.209156750795334,0.228201817330211,0.00850191478021023,3.84508250519201
sqlserver,warm,cloneStyleTraversal,read-optimized,3,0.237875356097561,0.200754216380182,0.231056849884527,0.22322880745409,0.200754216380182,0.237875356097561,0.0161338864856721,7.22751094255172
sqlserver,warm,lookupOldestObject,compact-only,3,0.00958571316025067,0.00884935864831911,0.00875080592899001,0.00906195924585326,0.00875080592899001,0.00958571316025067,0.000372528998206174,4.11091010342651
sqlserver,warm,lookupOldestObject,none,3,0.00990148255813953,0.0084104289044289,0.00940219976124154,0.00923803707460332,0.0084104289044289,0.00990148255813953,0.000619689325562503,6.70801946948358
sqlserver,warm,lookupOldestObject,read-optimized,3,0.0103298989619377,0.00733321377199693,0.00995090305266688,0.00920467192886718,0.00733321377199693,0.0103298989619377,0.00133233534304697,14.4745554577407
sqlserver,warm,reopenAndLookupOldest,compact-only,3,8.36949333333333,7.97835264,7.95410432,8.10065009777778,7.95410432,8.36949333333333,0.190358450007157,2.34991571922576
sqlserver,warm,reopenAndLookupOldest,none,3,8.02684928,6.58953909677419,6.58980335483871,7.0687305772043,6.58953909677419,8.02684928,0.677492240518058,9.58435511324874
sqlserver,warm,reopenAndLookupOldest,read-optimized,3,9.15902836363636,8.21624832,8.1051648,8.49348049454545,8.1051648,9.15902836363636,0.472793373925992,5.56654453059169
