operation,operationLabel,backend,pushes,cacheState,maintenanceMode,scoreMillis,scoreErrorMillis,p50Millis,p95Millis,p99Millis,activePacks,packPayloadBytes,packIndexBytes,smallPacks,smallPackRatioBasisPoints,storedExtensionBytes,unreachableLogicalBytes,maintenanceElapsedMillis,maintenanceStoredByteDelta,maintenancePackReduction,jgitDfsMidxExtensionAvailable,jdkVersion,jmhMode,latencySavingMillis,latencySavingPercent,breakEvenReads,beneficial
revisionWalk,Revision walk,hsqldb,1,cold,none,0.0027487907995618877,1.6785327960266538e-05,0.0026119999999999997,0.002872,0.004515599999999976,1,17140,1184,1,10000,18491,8449,0.0,0,0,True,21.0.12.1,sample,0.0,0.0,,False
revisionWalk,Revision walk,hsqldb,1,cold,compact-only,0.002728247625236518,1.6891500208375783e-05,0.002604,0.0028439999999999997,0.00447823999999999,2,17172,2256,2,10000,19567,8449,31.0,1076,-1,True,21.0.12.1,sample,2.0543174325369715e-05,0.7473531390109411,1509018,False
revisionWalk,Revision walk,hsqldb,1,cold,read-optimized,0.002674805142537739,1.4982329830787103e-05,0.002552,0.002852,0.00424,2,17172,2256,2,10000,20955,8449,50.0,2464,-1,True,21.0.12.1,sample,7.398565702414856e-05,2.691571036833384,675807,False
cloneStyleTraversal,Clone-style traversal,hsqldb,1,warm,none,0.009488070055668084,0.0010354857649393907,0.007991999999999999,0.010511999999999999,0.016767999999999998,1,17140,1184,1,10000,18491,8449,0.0,0,0,True,21.0.12.1,sample,0.0,0.0,,False
cloneStyleTraversal,Clone-style traversal,hsqldb,1,warm,compact-only,0.008527922008012018,0.0005131440947025106,0.007896,0.010735999999999999,0.016702399999999906,2,17172,2256,2,10000,19567,8449,39.0,1076,-1,True,21.0.12.1,sample,0.0009601480476560658,10.119529493592665,40619,False
cloneStyleTraversal,Clone-style traversal,hsqldb,1,warm,read-optimized,0.008182005322198852,0.0005677799568075797,0.00748,0.008928,0.01574112000000011,2,17172,2256,2,10000,20955,8449,58.0,2464,-1,True,21.0.12.1,sample,0.0013060647334692324,13.765336109517884,44409,False
incrementalFetchTraversal,Incremental-fetch traversal,hsqldb,1,warm,none,0.008661862817607061,0.0007781647330611381,0.00752,0.009632,0.016016,1,17140,1184,1,10000,18491,8449,0.0,0,0,True,21.0.12.1,sample,0.0,0.0,,False
incrementalFetchTraversal,Incremental-fetch traversal,hsqldb,1,warm,compact-only,0.00896280750202824,0.0007077923617278561,0.008272,0.009984,0.017311999999999998,2,17172,2256,2,10000,19567,8449,34.0,1076,-1,True,21.0.12.1,sample,-0.0003009446844211786,-3.474364472841167,,False
incrementalFetchTraversal,Incremental-fetch traversal,hsqldb,1,warm,read-optimized,0.00979379117927389,0.0008383313501081461,0.008784,0.012475199999999954,0.019167999999999998,2,17172,2256,2,10000,20955,8449,72.0,2464,-1,True,21.0.12.1,sample,-0.0011319283616668292,-13.067955305941192,,False
lookupMissingObject,Missing-object lookup,hsqldb,1,warm,none,0.0001939002739801847,1.751141722327471e-05,0.00015099999999999998,0.00018999999999999998,0.00031999999999999997,1,17140,1184,1,10000,18491,8449,0.0,0,0,True,21.0.12.1,sample,0.0,0.0,,False
lookupMissingObject,Missing-object lookup,hsqldb,1,warm,compact-only,0.0001989009615045961,1.6589115896857148e-05,0.00016999999999999999,0.00019999999999999998,0.000341,2,17172,2256,2,10000,19567,8449,44.0,1076,-1,True,21.0.12.1,sample,-5.000687524411412e-06,-2.5789997207133646,,False
lookupMissingObject,Missing-object lookup,hsqldb,1,warm,read-optimized,0.00026162854191838486,0.00027777112518993015,0.00013,0.00015,0.00018099999999999998,2,17172,2256,2,10000,20955,8449,55.0,2464,-1,True,21.0.12.1,sample,-6.772826793820016e-05,-34.92943385171366,,False
lookupNewestObject,Newest-object lookup,hsqldb,1,warm,none,0.003948239123794562,0.00032783126739263283,0.0036839999999999998,0.0039959999999999996,0.006035839999999967,1,17140,1184,1,10000,18491,8449,0.0,0,0,True,21.0.12.1,sample,0.0,0.0,,False
lookupNewestObject,Newest-object lookup,hsqldb,1,warm,compact-only,0.004028734684403699,0.00038602385749884004,0.0036839999999999998,0.004024,0.006183999999999999,2,17172,2256,2,10000,19567,8449,34.0,1076,-1,True,21.0.12.1,sample,-8.049556060913624e-05,-2.038771160642717,,False
lookupNewestObject,Newest-object lookup,hsqldb,1,warm,read-optimized,0.003983603430573166,5.354807315293898e-05,0.0038039999999999997,0.004384,0.006565680000000051,2,17172,2256,2,10000,20955,8449,59.0,2464,-1,True,21.0.12.1,sample,-3.536430677860379e-05,-0.8956982003819456,,False
lookupOldestObject,Oldest-object lookup,hsqldb,1,warm,none,0.003792248513347325,2.6315275819325185e-05,0.0036639999999999997,0.003984,0.005974719999999972,1,17140,1184,1,10000,18491,8449,0.0,0,0,True,21.0.12.1,sample,0.0,0.0,,False
lookupOldestObject,Oldest-object lookup,hsqldb,1,warm,compact-only,0.003901068006818314,0.00022003654510044255,0.003704,0.004004,0.006395760000000009,2,17172,2256,2,10000,19567,8449,33.0,1076,-1,True,21.0.12.1,sample,-0.00010881949347098891,-2.869524322785919,,False
lookupOldestObject,Oldest-object lookup,hsqldb,1,warm,read-optimized,0.003983294062205468,0.00028145061910195805,0.003704,0.004344,0.0068639999999999994,2,17172,2256,2,10000,20955,8449,50.0,2464,-1,True,21.0.12.1,sample,-0.00019104554885814333,-5.037790856420222,,False
readAllRefs,Read all refs,hsqldb,1,warm,none,0.0004401074642254577,0.00015749162161659655,0.00031999999999999997,0.000361,0.000641,1,17140,1184,1,10000,18491,8449,0.0,0,0,True,21.0.12.1,sample,0.0,0.0,,False
readAllRefs,Read all refs,hsqldb,1,warm,compact-only,0.00042962365445907744,0.0002274475052512675,0.000281,0.00033,0.0006408300000000017,2,17172,2256,2,10000,19567,8449,34.0,1076,-1,True,21.0.12.1,sample,1.048380976638024e-05,2.3821022406040373,3243096,False
readAllRefs,Read all refs,hsqldb,1,warm,read-optimized,0.0004497147982874026,0.0002753835746031804,0.00029,0.00033099999999999997,0.0006,2,17172,2256,2,10000,20955,8449,54.0,2464,-1,True,21.0.12.1,sample,-9.6073340619449e-06,-2.182951856736351,,False
reopenAndLookupOldest,Reopen and oldest-object lookup,hsqldb,1,warm,none,0.42924369396386003,0.01349003075345144,0.3968,0.8589824000000004,1.1611545600000006,1,17140,1184,1,10000,18491,8449,0.0,0,0,True,21.0.12.1,sample,0.0,0.0,,False
reopenAndLookupOldest,Reopen and oldest-object lookup,hsqldb,1,warm,compact-only,0.3615940412003246,0.008773272016728968,0.31744,0.7147519999999999,1.0984243200000003,2,17172,2256,2,10000,19567,8449,32.0,1076,-1,True,21.0.12.1,sample,0.0676496527635354,15.760197229416057,474,False
reopenAndLookupOldest,Reopen and oldest-object lookup,hsqldb,1,warm,read-optimized,0.41412162021553267,0.012192098847069916,0.356352,0.8313344000000004,1.27625216,2,17172,2256,2,10000,20955,8449,59.0,2464,-1,True,21.0.12.1,sample,0.015122073748327358,3.522957695355346,3902,False
revisionWalk,Revision walk,hsqldb,1,warm,none,0.003323137076755036,0.0003466968567818887,0.0030239999999999998,0.003444,0.005178479999999981,1,17140,1184,1,10000,18491,8449,0.0,0,0,True,21.0.12.1,sample,0.0,0.0,,False
revisionWalk,Revision walk,hsqldb,1,warm,compact-only,0.003459520183787332,0.00043935706654290837,0.0030919999999999997,0.0034639999999999996,0.005494160000000033,2,17172,2256,2,10000,19567,8449,37.0,1076,-1,True,21.0.12.1,sample,-0.00013638310703229612,-4.1040469857918405,,False
revisionWalk,Revision walk,hsqldb,1,warm,read-optimized,0.003314978547337537,0.0002972858052623524,0.003032,0.004136,0.005232,2,17172,2256,2,10000,20955,8449,66.0,2464,-1,True,21.0.12.1,sample,8.158529417498853e-06,0.24550685779912101,8089694,False
cloneStyleTraversal,Clone-style traversal,hsqldb,10,cold,none,0.07326411896714886,0.00195929248854809,0.06912,0.07961599999999999,0.09792,10,95514,11588,10,10000,107269,8449,0.0,0,0,True,21.0.12.1,sample,0.0,0.0,,False
cloneStyleTraversal,Clone-style traversal,hsqldb,10,cold,compact-only,0.07298696427137692,0.0020968159066343268,0.067968,0.078848,0.10960383999999986,2,95258,3012,2,10000,98409,8449,51.0,-8860,8,True,21.0.12.1,sample,0.00027715469577194174,0.378295268788008,184013,True
