backend,cacheState,pushes,operation,maintenanceMode,scoreMillis,scoreErrorMillis,p50Millis,p95Millis,p99Millis,activePacks,packPayloadBytes,packIndexBytes,smallPacks,smallPackRatioBasisPoints,storedExtensionBytes,unreachableLogicalBytes,maintenanceElapsedMillis,maintenanceStoredByteDelta,maintenancePackReduction,latencySavingMillis,latencySavingPercent,breakEvenReads,beneficial,jgitDfsMidxExtensionAvailable,jdkVersion,jmhMode
postgresql,warm,32,reopenAndLookupOldest,read-optimized,2.52824446847,0.0782745328339,2.39616,3.33824,4.4433408,2,311545,4944,2,10000,321240,33796,153,-28536,30,-0.67003710423,-36.0582525462,,false,true,21.0.12.1,sample
postgresql,warm,100,reopenAndLookupOldest,none,2.39210330064,0.0699716037373,2.27328,3.0724096,3.74235136,100,955494,115880,100,10000,1071541,84490,0,0,0,0,0,,false,true,21.0.12.1,sample
postgresql,warm,100,reopenAndLookupOldest,compact-only,3.51556026291,0.0721268396749,3.387392,4.415488,5.423104,2,952358,10824,2,10000,963321,84490,312,-108220,98,-1.12345696227,-46.9652360737,,false,true,21.0.12.1,sample
postgresql,warm,100,reopenAndLookupOldest,read-optimized,3.3550336,0.0747738419802,3.248128,4.1756672,5.66009856,2,952358,10824,2,10000,977117,84490,317,-94424,98,-0.96293029936,-40.2545449899,,false,true,21.0.12.1,sample
postgresql,warm,300,reopenAndLookupOldest,none,3.75924588982,0.0909014304552,3.674112,4.38272,5.873664,300,2866639,347640,300,10000,3214447,253470,0,0,0,0,0,,false,true,21.0.12.1,sample
postgresql,warm,300,reopenAndLookupOldest,compact-only,2.86594089796,0.0641308024596,2.768896,3.536896,4.9664,2,2857103,28184,1,5000,2885426,253470,627,-329021,298,0.893304991857,23.7628773972,702,true,true,21.0.12.1,sample
postgresql,warm,300,reopenAndLookupOldest,read-optimized,2.76599907503,0.0691696175385,2.715648,3.260416,4.59292672,2,2857103,28184,1,5000,2913584,253470,693,-300863,298,0.993246814786,26.4214378069,698,true,true,21.0.12.1,sample
postgresql,warm,1000,reopenAndLookupOldest,none,8.37490391078,0.316522497073,7.815168,11.665408,17.0688512,1000,9555630,1158800,1000,10000,10714598,844900,0,0,0,0,0,,false,true,21.0.12.1,sample
postgresql,warm,1000,reopenAndLookupOldest,compact-only,2.49156909978,0.0656882360773,2.414592,3.3417216,4.52943872,2,9523694,88944,1,5000,9612777,844900,1800,-1101821,998,5.883334811,70.24957986,306,true,true,21.0.12.1,sample
postgresql,warm,1000,reopenAndLookupOldest,read-optimized,2.39842001281,0.0606766650735,2.33472,3.1629312,4.48856064,2,9523694,88944,1,5000,9684701,844900,1965,-1029897,998,5.97648389797,71.3618205253,329,true,true,21.0.12.1,sample
