backend,cache,maintenanceMode,repeat,noMaintenanceMillis,maintenanceModeMillis,maintenanceElapsedMillis,savingMillis,savingPercent,breakEvenReads
postgresql,cold,compact-only,1,18.808832,6.373375999999999,70.0,12.435456,66.11498257839722,5.629065793807642
postgresql,cold,compact-only,2,18.883304727272726,6.037255757575758,80.0,12.84604896969697,68.02860598411947,6.22759575249285
postgresql,cold,compact-only,3,17.97473745454545,5.725973942857142,65.0,12.24876351168831,68.14432501538899,5.306658091486062
postgresql,cold,read-optimized,1,18.808832,5.985942588235293,96.0,12.822889411764706,68.17483090797295,7.486612175873732
postgresql,cold,read-optimized,2,18.883304727272726,6.079953454545455,101.0,12.803351272727271,67.80249250670452,7.888559631660075
postgresql,cold,read-optimized,3,17.97473745454545,5.7556992000000005,99.0,12.21903825454545,67.97895260192243,8.102110652053344
postgresql,warm,compact-only,1,3.5772974545454543,4.465641244444445,66.0,-0.8883437898989905,-24.832818662318004,
postgresql,warm,compact-only,2,3.5200449122807003,4.443522844444445,62.0,-0.9234779321637445,-26.234833792657682,
postgresql,warm,compact-only,3,3.8822203076923074,4.756821333333333,68.0,-0.8746010256410255,-22.52837181620203,
postgresql,warm,read-optimized,1,3.5772974545454543,4.574208,97.0,-0.9969105454545453,-27.867700634953675,
postgresql,warm,read-optimized,2,3.5200449122807003,4.464093866666667,98.0,-0.9440489543859671,-26.819230376645987,
postgresql,warm,read-optimized,3,3.8822203076923074,5.098469743589743,99.0,-1.2162494358974358,-31.32870727319455,
sqlserver,cold,compact-only,1,31.405787428571426,8.697410782608697,93.0,22.70837664596273,72.30634384700629,4.09540503268578
sqlserver,cold,compact-only,2,20.968243199999996,6.496784516129031,201.0,14.471458683870965,69.0160761006004,13.889408413543187
sqlserver,cold,compact-only,3,34.54293333333333,10.56336842105263,79.0,23.9795649122807,69.41959642188476,3.2944717841624214
sqlserver,cold,read-optimized,1,31.405787428571426,9.214882909090909,99.0,22.19090451948052,70.65864713614006,4.461287277095524
sqlserver,cold,read-optimized,2,20.968243199999996,6.14822012121212,233.0,14.820023078787877,70.67842039712644,15.721972817538754
sqlserver,cold,read-optimized,3,34.54293333333333,10.272768000000003,111.0,24.270165333333328,70.26086956521738,4.573516433674619
sqlserver,warm,compact-only,1,8.02684928,8.369493333333335,91.0,-0.34264405333333414,-4.268724145438721,
sqlserver,warm,compact-only,2,6.5895390967741925,7.978352640000001,79.0,-1.3888135432258082,-21.076034648700702,
sqlserver,warm,compact-only,3,6.589803354838709,7.954104319999999,82.0,-1.3643009651612896,-20.703212094478076,
sqlserver,warm,read-optimized,1,8.02684928,9.159028363636363,118.0,-1.1321790836363625,-14.104900243453464,
sqlserver,warm,read-optimized,2,6.5895390967741925,8.21624832,110.0,-1.6267092232258076,-24.68623676612129,
sqlserver,warm,read-optimized,3,6.589803354838709,8.1051648,105.0,-1.5153614451612913,-22.995548782933007,
