backend,cacheState,operation,maintenanceMode,repeatCount,repeat1Millis,repeat2Millis,repeat3Millis,meanMillis,minimumMillis,maximumMillis,populationStddevMillis,coefficientOfVariationPercent
postgresql,cold,cloneStyleTraversal,compact-only,3,0.19172166167,0.23627204244,0.231364670935,0.219786125015,0.19172166167,0.23627204244,0.0199454447748,9.07493353981
postgresql,cold,cloneStyleTraversal,none,3,0.227912171934,0.238703058824,0.268056688427,0.244890639728,0.227912171934,0.268056688427,0.0169629040203,6.92672616608
postgresql,cold,cloneStyleTraversal,read-optimized,3,0.200836582339,0.233962333333,0.177461701876,0.204086872516,0.177461701876,0.233962333333,0.0231805037112,11.3581551941
postgresql,cold,lookupOldestObject,compact-only,3,0.00854425339367,0.0117344319868,0.0111092508671,0.0104626454158,0.00854425339367,0.0117344319868,0.0013803100669,13.1927443973
postgresql,cold,lookupOldestObject,none,3,0.0123762348555,0.0122612541197,0.0168839102343,0.0138404664032,0.0122612541197,0.0168839102343,0.00215255164975,15.5525947395
postgresql,cold,lookupOldestObject,read-optimized,3,0.0100932932976,0.0125318489713,0.0117649048889,0.0114633490526,0.0100932932976,0.0125318489713,0.00101811603309,8.88148854593
postgresql,cold,reopenAndLookupOldest,compact-only,3,5.84451011765,6.43732645161,5.844992,6.04227618975,5.84451011765,6.43732645161,0.279342788343,4.62313835996
postgresql,cold,reopenAndLookupOldest,none,3,17.702912,18.9965032727,18.4528523636,18.3840892121,17.702912,18.9965032727,0.530340062899,2.88477746588
postgresql,cold,reopenAndLookupOldest,read-optimized,3,6.50788335484,6.299904,6.07374739394,6.29384491626,6.07374739394,6.50788335484,0.177287041279,2.81683205796
postgresql,warm,cloneStyleTraversal,compact-only,3,0.173331569778,0.228689276995,0.198004196721,0.200008347831,0.173331569778,0.228689276995,0.0226440780095,11.3215664521
postgresql,warm,cloneStyleTraversal,none,3,0.251968498701,0.192746217973,0.235913619394,0.226876112023,0.192746217973,0.251968498701,0.0250076926601,11.0226204236
postgresql,warm,cloneStyleTraversal,read-optimized,3,0.216608070953,0.221377163636,0.174508182149,0.204164472246,0.174508182149,0.221377163636,0.0210603532416,10.3153859288
postgresql,warm,lookupOldestObject,compact-only,3,0.00982813680086,0.00813757890161,0.0102805573192,0.00941542434056,0.00813757890161,0.0102805573192,0.000922257305294,9.79517515021
postgresql,warm,lookupOldestObject,none,3,0.00836123187753,0.0118198139707,0.00940074261303,0.00986059615376,0.00836123187753,0.0118198139707,0.00144891832828,14.6940236238
postgresql,warm,lookupOldestObject,read-optimized,3,0.00976905051979,0.00760117444648,0.0085734689344,0.00864789796689,0.00760117444648,0.00976905051979,0.000886595145472,10.252146231
postgresql,warm,reopenAndLookupOldest,compact-only,3,4.63876762791,4.68496669767,5.0920448,4.80525970853,4.63876762791,5.0920448,0.203662883266,4.23833248605
postgresql,warm,reopenAndLookupOldest,none,3,3.49381614035,3.64255762963,4.32119095652,3.81918824217,3.49381614035,4.32119095652,0.360125951645,9.4293846967
postgresql,warm,reopenAndLookupOldest,read-optimized,3,4.94367219512,4.52244945455,4.52375272727,4.66329145898,4.52244945455,4.94367219512,0.19825983377,4.25149994406
sqlserver,cold,cloneStyleTraversal,compact-only,3,0.201144525028,0.234772306892,0.183884547645,0.206600459855,0.183884547645,0.234772306892,0.0211300170204,10.2274782134
sqlserver,cold,cloneStyleTraversal,none,3,0.321497062937,0.291815225806,0.335723304042,0.316345197595,0.291815225806,0.335723304042,0.0182918218696,5.78223472607
sqlserver,cold,cloneStyleTraversal,read-optimized,3,0.239808,0.23737997358,0.257005037037,0.244731003539,0.23737997358,0.257005037037,0.00873547372528,3.56941850397
sqlserver,cold,lookupOldestObject,compact-only,3,0.014170439523,0.00921883235294,0.0129220468019,0.0121037728926,0.00921883235294,0.014170439523,0.00210266220691,17.371956873
sqlserver,cold,lookupOldestObject,none,3,0.0173892690605,0.00991840715884,0.013932453567,0.0137467099288,0.00991840715884,0.0173892690605,0.00305279324693,22.2074464563
sqlserver,cold,lookupOldestObject,read-optimized,3,0.0138614247039,0.0126105649667,0.0121491612903,0.012873716987,0.0121491612903,0.0138614247039,0.000723370923147,5.61897487631
sqlserver,cold,reopenAndLookupOldest,compact-only,3,11.4342115556,11.4451342222,13.5091541333,12.1294999704,11.4342115556,13.5091541333,0.975573005366,8.04297792777
sqlserver,cold,reopenAndLookupOldest,none,3,34.7450026667,37.5958186667,37.060608,36.4671431111,34.7450026667,37.5958186667,1.2371845449,3.39260067929
sqlserver,cold,reopenAndLookupOldest,read-optimized,3,10.8893237895,11.7540743529,12.2301741176,11.6245240867,10.8893237895,12.2301741176,0.55501192435,4.7744915853
sqlserver,warm,cloneStyleTraversal,compact-only,3,0.213092971554,0.226882093458,0.210155443255,0.216710169422,0.210155443255,0.226882093458,0.00729192690901,3.36482913028
sqlserver,warm,cloneStyleTraversal,none,3,0.260425728,0.228277847239,0.230922958383,0.239875511207,0.228277847239,0.260425728,0.0145712664953,6.07451190911
sqlserver,warm,cloneStyleTraversal,read-optimized,3,0.206555447983,0.199522299795,0.159163865904,0.188413871227,0.159163865904,0.206555447983,0.0208812260485,11.0826373411
sqlserver,warm,lookupOldestObject,compact-only,3,0.00825869912296,0.00980961992883,0.00880688965895,0.00895840290358,0.00825869912296,0.00980961992883,0.000642160952819,7.16825264202
sqlserver,warm,lookupOldestObject,none,3,0.00888413450516,0.00999124588302,0.0108228122137,0.00989939753397,0.00888413450516,0.0108228122137,0.000794122116493,8.02192369554
sqlserver,warm,lookupOldestObject,read-optimized,3,0.00893413725126,0.00840833914137,0.00982662861434,0.00905636833566,0.00840833914137,0.00982662861434,0.000585429520827,6.46428567312
sqlserver,warm,reopenAndLookupOldest,compact-only,3,7.64471138462,8.02390016,8.57463466667,8.08108207043,7.64471138462,8.57463466667,0.381786725616,4.72445054127
sqlserver,warm,reopenAndLookupOldest,none,3,7.14927542857,7.01517682759,7.01856662069,7.06100629228,7.01517682759,7.14927542857,0.0624310445757,0.884166392033
sqlserver,warm,reopenAndLookupOldest,read-optimized,3,8.0265216,8.82527721739,8.88084034783,8.57754638841,8.0265216,8.88084034783,0.390293097936,4.55017181211
