backend,cacheState,pushes,maintenanceMode,scoreMillis,scoreErrorMillis,activePacks,maintenanceElapsedMillis,maintenancePackReduction,maintenanceStoredByteDelta,storedExtensionBytes,smallPacks,smallPackRatioBasisPoints,packIndexBytes,packPayloadBytes
postgresql-hikari,warm,10,compact-only,2.75311509202,0.0549741297892,2,73,8,-8860,98409,2,1,3012,95258
postgresql-hikari,warm,10,none,1.71532819542,0.0285193084464,10,0,0,0,107269,10,1,11588,95514
postgresql-hikari,warm,10,read-optimized,2.64105984,0.0767387613342,2,94,8,-6608,100661,2,1,3012,95258
postgresql-hikari,warm,32,compact-only,2.74828564994,0.0811213421434,2,116,30,-33148,316628,2,1,4944,311545
postgresql-hikari,warm,32,none,1.95604515679,0.0515891095016,32,0,0,0,349776,32,1,37104,312505
postgresql-hikari,warm,32,read-optimized,2.66779728266,0.0765898588541,2,156,30,-28536,321240,2,1,4944,311545
postgresql-hikari,warm,100,compact-only,3.54204663937,0.0751198763802,2,284,98,-108220,963321,2,1,10824,952358
postgresql-hikari,warm,100,none,2.57968434023,0.0742366469344,100,0,0,0,1071541,100,1,115880,955494
postgresql-hikari,warm,100,read-optimized,3.47688991654,0.0922897883038,2,312,98,-94424,977117,2,1,10824,952358
postgresql-hikari,warm,300,compact-only,2.93971793987,0.0784123854744,2,592,298,-329021,2885426,1,0,28184,2857103
postgresql-hikari,warm,300,none,4.44369049802,0.101559243675,300,0,0,0,3214447,300,1,347640,2866639
postgresql-hikari,warm,300,read-optimized,2.91934829572,0.0765140017688,2,673,298,-300863,2913584,1,0,28184,2857103
postgresql-hikari,warm,1000,compact-only,2.54011472994,0.0403684864294,2,1586,998,-1101821,9612777,1,0,88944,9523694
postgresql-hikari,warm,1000,none,11.0070908878,0.360463901538,1000,0,0,0,10714598,1000,1,1158800,9555630
postgresql-hikari,warm,1000,read-optimized,2.46242278204,0.0576145982842,2,1777,998,-1029897,9684701,1,0,88944,9523694
