backend,cacheState,pushes,operation,maintenanceMode,scoreMillis,scoreErrorMillis,p50Millis,p95Millis,p99Millis,activePacks,packPayloadBytes,packIndexBytes,smallPacks,smallPackRatioBasisPoints,storedExtensionBytes,unreachableLogicalBytes,maintenanceElapsedMillis,maintenanceStoredByteDelta,maintenancePackReduction,latencySavingMillis,latencySavingPercent,breakEvenReads,beneficial,jgitDfsMidxExtensionAvailable,jdkVersion,jmhMode
hsqldb,warm,32,reopenAndLookupOldest,read-optimized,0.718688535393,0.018125008078,0.669696,1.120256,1.353728,2,311545,4944,2,10000,321240,33796,132,-28536,30,-0.238379839217,-49.6305482527,,false,true,21.0.12.1,sample
hsqldb,warm,100,reopenAndLookupOldest,none,0.767498684913,0.0195204746322,0.8192,1.089536,1.196032,100,955494,115880,100,10000,1071541,84490,0,0,0,0,0,,false,true,21.0.12.1,sample
hsqldb,warm,100,reopenAndLookupOldest,compact-only,0.818000531969,0.024820895615,0.753664,1.1245568,1.53874432,2,952358,10824,2,10000,963321,84490,218,-108220,98,-0.0505018470565,-6.58005649382,,false,true,21.0.12.1,sample
hsqldb,warm,100,reopenAndLookupOldest,read-optimized,0.823285090375,0.0264202973348,0.781824,1.1015168,1.45739776,2,952358,10824,2,10000,977117,84490,249,-94424,98,-0.055786405462,-7.26859948539,,false,true,21.0.12.1,sample
hsqldb,warm,300,reopenAndLookupOldest,none,1.32194060506,0.0432375504436,1.161216,1.779712,1.939456,300,2866639,347640,300,10000,3214447,253470,0,0,0,0,0,,false,true,21.0.12.1,sample
hsqldb,warm,300,reopenAndLookupOldest,compact-only,0.638781863623,0.0228333089099,0.581632,0.8700928,0.99008512,2,2857103,28184,1,5000,2885426,253470,535,-329021,298,0.683158741438,51.6784747229,784,true,true,21.0.12.1,sample
hsqldb,warm,300,reopenAndLookupOldest,read-optimized,0.647551925969,0.027331966613,0.55296,0.920576,1.03936,2,2857103,28184,1,5000,2913584,253470,571,-300863,298,0.674388679093,51.0150513957,847,true,true,21.0.12.1,sample
hsqldb,warm,1000,reopenAndLookupOldest,none,3.30936380059,0.0868749213077,3.198976,4.5391872,5.72391424,1000,9555630,1158800,1000,10000,10714598,844900,0,0,0,0,0,,false,true,21.0.12.1,sample
hsqldb,warm,1000,reopenAndLookupOldest,compact-only,0.54196007767,0.0175813984013,0.53248,0.774144,1.00562944,2,9523694,88944,1,5000,9612777,844900,1419,-1101821,998,2.76740372292,83.6234360945,513,true,true,21.0.12.1,sample
hsqldb,warm,1000,reopenAndLookupOldest,read-optimized,0.592526577117,0.013070411205,0.57856,0.7440384,0.83591168,2,9523694,88944,1,5000,9684701,844900,1561,-1029897,998,2.71683722347,82.0954536031,575,true,true,21.0.12.1,sample
